word	file	lines
bowtie	cluster101_slides.qmd	167
BQxrVYdKZTbpCaF	cluster101_slides.qmd	69
cancelling	cluster101_slides.qmd	180
clo	cluster101_slides.qmd	189,191
compdemos	cluster101_slides.qmd	145
DaSL	cluster101_slides.qmd	21
DaSL	faq.Rmd	87
fh	cluster101_slides.qmd	109,113
FH's	cluster101_slides.qmd	39
filesystem	05-look-around.Rmd	25
filesystems	cluster101_slides.qmd	39
Filesystems	cluster101_slides.qmd	105
fred	cluster101_slides.qmd	176
FredHutch	cluster101_slides.qmd	163,206
gC	cluster101_slides.qmd	214
githubusercontent	cluster101_slides.qmd	163,206
gle	cluster101_slides.qmd	214
HelloWor	cluster101_slides.qmd	191
hpc	cluster101_slides.qmd	111
https	05-look-around.Rmd	21
https	cluster101_slides.qmd	69,81,83,97,99,115,119,135,145,163,169,194,202,204,206,210,214
hutchdatascience	cluster101_slides.qmd	69,81,83,119,202,210
ie	cluster101_slides.qmd	167
img	cluster101_slides.qmd	97
isnt	cluster101_slides.qmd	194
JOBID	cluster101_slides.qmd	190
jpg	cluster101_slides.qmd	11
KvbPLQT	cluster101_slides.qmd	214
lEXpQZDU	cluster101_slides.qmd	69
mem	cluster101_slides.qmd	139
ne	cluster101_slides.qmd	191
NODELIST	cluster101_slides.qmd	190
PIs	self_test.md	45
png	cluster101_slides.qmd	69,97
posix	cluster101_slides.qmd	115
revealjs	cluster101_slides.qmd	4
sbatch	cluster101_slides.qmd	123,147,149,167
SBATCH	cluster101_slides.qmd	154,176,177
scancel	cluster101_slides.qmd	198
scicomputing	cluster101_slides.qmd	115,135,169,194,204
sciwiki	cluster101_slides.qmd	115,135,145,169,194,204
scrollable	cluster101_slides.qmd	6
Sl	cluster101_slides.qmd	69
slurm	cluster101_slides.qmd	163,206
squeue	cluster101_slides.qmd	186,189
vfgWL	cluster101_slides.qmd	214
wget	cluster101_slides.qmd	163,206
yale	05-look-around.Rmd	21
yale	cluster101_slides.qmd	97,99
ycrc	05-look-around.Rmd	21
ycrc	cluster101_slides.qmd	97,99
